user_id,uPassword,gender,wechat,mobile,email ,preference
Xgu3@wpi.edu,123,M,Xgu3@wpi.edu,517038278,Xgu3@wpi.edu,eat
wzhi@wpi.edu,123,F,wzhi@wpi.edu,519094834,wzhi@wpi.edu,sleep
hyin3@wpi.edu,123,M,hyin3@wpi.edu,508487396,hyin3@wpi.edu,drink
pzhou@wpi.edu,123,M,pzhou@wpi.edu,513289578,pzhou@wpi.edu,eat
yhuang5@wpi.edu,123,M,yhuang5@wpi.edu,515123412,yhuang5@wpi.edu,sleep
yhan2@wpi.edu,123,F,yhan2@wpi.edu,512512312,yhan2@wpi.edu,drink
Cye3@wpi.edu,123,F,Cye3@wpi.edu,518123231,Cye3@wpi.edu,eat
cding@wpi.edu,123,M,cding@wpi.edu,513125523,cding@wpi.edu,sleep
rfeng@wpi.edu,123,F,rfeng@wpi.edu,518123423,rfeng@wpi.edu,drink
Wchen5@wpi.edu,123,F,Wchen5@wpi.edu,510253322,Wchen5@wpi.edu,eat
Syan@wpi.edu,123,M,Syan@wpi.edu,512865434,Syan@wpi.edu,sleep
